"Year","new_Sport","total_earnings"
1990,"Auto Racing",19
1990,"Basketball",8.1
1990,"Boxing",75.7
1990,"Golf",25.2
1991,"Auto Racing",33
1991,"Basketball",16
1991,"Boxing",116.7
1991,"Golf",17.8
1992,"American Football",9.5
1992,"Auto Racing",36.5
1992,"Basketball",35.9
1992,"Boxing",28
1992,"Golf",20.3
1992,"Tennis",28.5
1993,"American Football",11.5
1993,"Auto Racing",34.5
1993,"Baseball",12.7
1993,"Basketball",51.2
1993,"Boxing",55.8
1993,"Tennis",12.6
1994,"Auto Racing",24.8
1994,"Basketball",46.7
1994,"Boxing",24.1
1994,"Golf",28.4
1994,"Hockey",13.5
1994,"Tennis",11.4
1995,"American Football",22.5
1995,"Auto Racing",15
1995,"Basketball",65.8
1995,"Boxing",80.2
1995,"Golf",15.1
1995,"Hockey",14.5
1995,"Tennis",16
1996,"American Football",16.5
1996,"Auto Racing",33
1996,"Basketball",102.8
1996,"Boxing",90.5
1996,"Golf",15.1
1996,"Tennis",15.2
1997,"Auto Racing",54.1
1997,"Basketball",120.7
1997,"Boxing",119.3
1997,"Golf",26.1
1997,"Hockey",17.9
1998,"Auto Racing",62.1
1998,"Baseball",17.2
1998,"Basketball",108.9
1998,"Boxing",18.5
1998,"Golf",44.9
1998,"Hockey",29.8
1999,"Auto Racing",75.5
1999,"Basketball",94
1999,"Boxing",141
1999,"Golf",47
2000,"Auto Racing",83.5
2000,"Basketball",108
2000,"Boxing",94
2000,"Golf",53
2002,"Auto Racing",107
2002,"Basketball",129
2002,"Boxing",51
2002,"Golf",69
2003,"Auto Racing",98
2003,"Baseball",26
2003,"Basketball",119
2003,"Boxing",30
2003,"Golf",78
2003,"Tennis",24
2004,"American Football",42
2004,"Auto Racing",80
2004,"Baseball",26.2
2004,"Basketball",122.7
2004,"Golf",80.3
2004,"Soccer",28
2004,"Tennis",28.2
2005,"American Football",37.5
2005,"Auto Racing",60
2005,"Basketball",95.2
2005,"Boxing",38
2005,"Cycling",28
2005,"Golf",87
2005,"Motorcycling",28
2005,"Soccer",32.5
2006,"American Football",29
2006,"Auto Racing",58
2006,"Baseball",29
2006,"Basketball",93
2006,"Boxing",55
2006,"Golf",137
2006,"Motorcycling",30
2007,"Auto Racing",76
2007,"Basketball",96
2007,"Boxing",43
2007,"Golf",142
2007,"Soccer",64
2008,"Auto Racing",44
2008,"Basketball",122
2008,"Golf",160
2008,"Motorcycling",35
2008,"Soccer",87
2008,"Tennis",35
2009,"Auto Racing",79
2009,"Basketball",130
2009,"Boxing",40
2009,"Golf",150
2009,"Motorcycling",35
2009,"Soccer",42
2010,"American Football",78.2
2010,"Basketball",90.8
2010,"Boxing",107
2010,"Golf",151
2010,"Soccer",43.7
2010,"Tennis",43
2011,"Auto Racing",34
2011,"Baseball",35
2011,"Basketball",101
2011,"Golf",121.5
2011,"Soccer",110.3
2011,"Tennis",47
2012,"American Football",42.4
2012,"Basketball",105.3
2012,"Boxing",147
2012,"Golf",107.2
2012,"Soccer",88.5
2012,"Tennis",52.7
2013,"American Football",100
2013,"Basketball",121.7
2013,"Golf",126.8
2013,"Soccer",132.5
2013,"Tennis",71.5
2014,"American Football",43.8
2014,"Basketball",133.8
2014,"Boxing",105
2014,"Golf",114.4
2014,"Soccer",144.7
2014,"Tennis",100.7
2015,"Basketball",168.5
2015,"Boxing",460
2015,"Golf",101.4
2015,"Soccer",153.4
2015,"Tennis",67
2016,"American Football",53.1
2016,"Basketball",183.4
2016,"Golf",105.7
2016,"Soccer",169.4
2016,"Tennis",123.6
2017,"American Football",50
2017,"Auto Racing",46
2017,"Basketball",240.7
2017,"Golf",50
2017,"Soccer",173
2017,"Tennis",64
2018,"American Football",126.8
2018,"Basketball",162.4
2018,"Boxing",285
2018,"Mixed Martial Arts",99
2018,"Soccer",309
2018,"Tennis",77.2
2019,"American Football",178.8
2019,"Basketball",234.2
2019,"Boxing",94
2019,"Soccer",341
2019,"Tennis",93.4
2020,"American Football",119.6
2020,"Basketball",226.5
2020,"Golf",62.3
2020,"Soccer",304.5
2020,"Tennis",106.3
